interaction_count,total_watch_hours,avg_engagement,watch_time_ratio,has_like,has_comment,has_share
1,0.02213888888888889,0.441,0.353,0,0,0
1,0.013361111111111112,0.385,0.213,0,0,0
1,0.012222222222222223,0.978,0.195,1,0,0
1,0.043527777777777776,0.577,0.694,0,0,0
1,0.009,0.657,0.143,0,0,0
1,0.0155,0.399,0.247,0,0,0
1,0.017944444444444443,0.714,0.286,0,0,0
1,0.021944444444444444,0.74,0.35,1,0,0
1,0.04297222222222222,0.874,0.685,1,0,0
1,0.0135,0.386,0.215,0,0,0
1,0.03969444444444445,0.553,0.632,0,0,0
1,0.024666666666666667,0.457,0.393,0,0,0
1,0.04663888888888889,0.897,0.743,0,1,0
1,0.03858333333333334,0.846,0.614,0,0,1
1,0.02313888888888889,0.747,0.369,0,0,0
1,0.03233333333333333,0.806,0.515,0,1,0
1,0.03822222222222222,0.843,0.609,1,0,0
1,0.04044444444444444,0.858,0.644,0,0,0
1,0.03186111111111111,0.803,0.508,1,0,0
1,0.008944444444444446,0.657,0.142,1,0,0
1,0.015305555555555557,0.697,0.244,1,0,0
1,0.01972222222222222,0.726,0.314,0,0,0
1,0.022833333333333334,0.746,0.364,0,0,0
1,0.03822222222222222,0.844,0.609,1,0,0
1,0.03036111111111111,0.793,0.483,0,0,0
1,0.04216666666666667,0.869,0.672,1,0,0
1,0.04722222222222222,0.601,0.752,0,0,0
1,0.0020833333333333333,0.613,0.033,0,0,0
1,0.02175,0.439,0.346,0,0,0
1,0.019694444444444445,1.026,0.314,0,1,0
1,0.02025,0.429,0.322,0,0,0
1,0.04525,0.888,0.721,0,1,0
1,0.02913888888888889,0.786,0.464,0,0,0
1,0.004416666666666667,0.328,0.07,0,0,0
1,0.04669444444444444,0.598,0.744,0,0,0
1,0.036222222222222225,0.831,0.577,1,0,0
1,0.02722222222222222,1.074,0.434,0,1,0
1,0.02197222222222222,0.74,0.35,0,0,0
1,0.034444444444444444,1.119,0.549,1,0,0
1,0.0045,0.329,0.072,0,0,0
1,0.007555555555555555,0.348,0.121,0,0,0
1,0.017722222222222223,0.713,0.282,1,0,0
1,0.022833333333333334,1.045,0.364,1,1,0
1,0.034416666666666665,0.819,0.548,0,1,0
1,0.04066666666666667,0.559,0.648,0,0,0
1,0.011527777777777777,0.673,0.184,0,0,0
1,0.029500000000000002,0.488,0.47,0,0,0
1,0.03269444444444444,0.808,0.521,0,0,0
1,0.02688888888888889,0.471,0.428,0,0,0
1,0.03175,0.502,0.506,0,0,0
1,0.02161111111111111,0.438,0.344,0,0,0
1,0.010416666666666666,0.366,0.166,0,0,0
1,0.01927777777777778,1.023,0.307,1,0,0
1,0.011333333333333332,0.672,0.18,0,0,0
1,0.004833333333333333,0.631,0.077,0,0,0
1,0.04111111111111111,0.562,0.655,0,0,0
1,0.016638888888888887,0.406,0.265,0,0,0
1,0.04602777777777777,0.593,0.733,0,0,0
1,0.015444444444444445,0.998,0.246,1,0,0
1,0.03913888888888889,0.549,0.623,0,0,0
1,0.042222222222222223,0.869,0.673,1,0,0
1,0.0016944444444444444,0.611,0.027,0,0,0
1,0.027,0.472,0.43,0,0,0
1,0.010305555555555556,1.232,0.079,1,1,0
1,0.08977777777777778,0.875,0.688,0,0,0
1,0.09177777777777778,0.581,0.703,0,0,0
1,0.06513888888888889,0.8,0.499,0,0,0
1,0.042083333333333334,0.429,0.322,0,0,0
1,0.052,1.359,0.398,1,1,0
1,0.07747222222222222,0.537,0.593,0,0,0
1,0.027333333333333334,0.684,0.209,1,0,0
1,0.033499999999999995,0.403,0.257,0,0,0
1,0.08166666666666667,0.85,0.625,1,0,0
1,0.03180555555555555,0.997,0.244,0,1,0
1,0.03244444444444444,0.399,0.249,0,0,0
1,0.06808333333333333,1.409,0.522,0,1,1
1,0.05683333333333333,0.474,0.435,0,0,0
1,0.09811111111111111,0.901,0.751,0,0,0
1,0.11672222222222221,0.958,0.894,0,0,0
1,0.03027777777777778,0.393,0.232,0,0,0
1,0.06366666666666666,0.795,0.488,1,0,0
1,0.06655555555555555,1.104,0.51,0,1,0
1,0.10816666666666666,0.931,0.829,1,0,0
1,0.04836111111111111,0.748,0.37,1,0,0
1,0.041138888888888885,0.426,0.315,0,0,0
1,0.059416666666666666,0.782,0.455,0,0,0
1,0.04111111111111111,0.726,0.315,1,0,0
1,0.063,1.393,0.483,1,1,1
1,0.008277777777777778,0.625,0.063,1,0,0
1,0.03230555555555555,0.399,0.247,0,0,0
1,0.04608333333333334,0.741,0.353,0,0,0
1,0.01113888888888889,0.634,0.085,1,0,0
1,0.06477777777777778,0.498,0.496,0,0,0
1,0.1135,0.948,0.869,0,0,0
1,0.08080555555555555,1.148,0.619,1,1,0
1,0.04327777777777778,0.733,0.331,0,0,0
1,0.024055555555555552,0.374,0.184,0,0,0
1,0.004138888888888889,0.913,0.032,1,0,0
1,0.04730555555555556,0.445,0.362,0,0,0
1,0.08744444444444445,0.868,0.67,0,0,0
1,0.042472222222222224,0.43,0.325,0,0,0
1,0.035472222222222224,1.009,0.272,0,1,0
1,0.012,0.337,0.092,0,0,0
1,0.06983333333333333,1.114,0.535,0,1,0
1,0.0806388888888889,1.147,0.618,1,0,0
1,0.06208333333333333,0.49,0.475,0,0,0
1,0.047,0.444,0.36,0,0,0
1,0.10558333333333333,0.924,0.809,0,0,0
1,0.03755555555555555,0.415,0.288,0,0,0
1,0.07297222222222222,0.824,0.559,1,0,0
1,0.05722222222222222,1.075,0.438,1,0,0
1,0.09141666666666667,1.18,0.7,0,1,0
1,0.051305555555555556,1.057,0.393,1,0,0
1,0.04688888888888889,0.744,0.359,1,0,0
1,0.07658333333333334,0.835,0.587,0,0,0
1,0.07627777777777778,0.534,0.584,0,0,0
1,0.08702777777777779,0.926,0.816,0,0,0
1,0.009,0.334,0.084,0,0,0
1,0.009305555555555555,0.335,0.087,0,0,0
1,0.054,1.102,0.506,1,0,0
1,0.056666666666666664,0.812,0.531,1,0,0
1,0.05391666666666667,0.502,0.505,0,0,0
1,0.03630555555555555,0.436,0.34,0,0,0
1,0.07427777777777778,1.179,0.696,0,1,0
1,0.03994444444444445,0.75,0.375,1,0,0
1,0.06202777777777778,0.833,0.582,1,0,0
1,0.0305,0.714,0.286,0,0,0
1,0.06425,0.541,0.602,0,0,0
1,0.04527777777777778,1.07,0.424,0,0,1
1,0.01025,0.338,0.096,0,0,0
1,0.030305555555555554,0.714,0.284,0,0,0
1,0.013944444444444445,0.352,0.131,0,0,0
