video_id,title,view_count,like_count,dislike_count,comment_count,duration_seconds,upload_date,uploader,description_length,tags_count,category,engagement_rate,comment_rate,like_ratio,subscriber_count,average_rating,age_limit,is_live,language,interaction_weight
z9kvKAg_uTQ,موجز الاخبار - الواحدة ظهرا 9-06-2015,5347,34,3,0,226,20150609,Orient News,202,51,News & Politics,0.692,0.0,91.89,0,4.67567586899,0,,,0.004641370412821282
pjKHUc8CZ0g,صحافة النهار |  تعرف على الجديد فى صفقات النادى الاهلى والزمالك,13170,31,5,0,470,20150614,AlNahar Ryada,577,7,Sports,0.2733,0.0,86.11,0,4.44444465637,0,,,0.0037352360273225182
KzZ9hNuWfAY,商台突然炒李慧玲 不作解釋,1925,3,1,0,384,20140212,tesla2047,13,3,People & Blogs,0.2078,0.0,75.0,0,4.0,0,,,0.0037115532120620388
3xDBNxpxXLQ,"صوت القاهرة - احمد المسلمانى "" شائعات حول اعتناق ابنة جورج بوش الاسلام """,63468,80,15,0,256,20141220,AlHayah TV Network,120,24,News & Politics,0.1497,0.0,84.21,0,4.36842107773,0,,,0.004810612716414678
Ctexu_Rf_2M,"Bachmann Taps Out, Suspends Presidential Campaign",1319,47,11,0,153,20120104,SaveOurSovereignty3,162,19,News & Politics,4.3973,0.0,81.03,0,4.24137926102,0,,,0.005154623176824269
9Q10HCcHtpY,4. CMYK Gazete Günleri İrfan Değirmenci ile Günaydın'da,2257,1,0,0,127,20120416,anadoluiletisim,327,6,Education,0.0443,0.0,100.0,0,5.0,0,,,0.004819001892890754
ui_r92Li-Gc,#1 Twarzą w Twarz - Szczęście z uśmiechem po tym samym torze...,1847,36,4,0,395,20150219,Twarzą w Twarz,750,0,People & Blogs,2.1657,0.0,90.0,0,4.59999990463,0,,,0.003910804874817449
rgkJiQbfE8Q,"Dupe or dud: IT Cosmetics Vitality Face Disk vs. Crown Brush Blush, Bronze, Highlight | Bailey B.",20034,879,7,0,338,20150802,Bailey B,1825,15,Howto & Style,4.4225,0.0,99.21,0,4.9683971405,0,,,0.004810765691257116
yE1vy3JnftM,Ο Ευάγγελος Μπεξής μιλάει για τα ευρήματα της Αμφίπολης στο κανάλι ''Ε'',3936,15,3,0,329,20141015,ΜΥΣΤΙΚΑ ΠΕΡΑΣΜΑΤΑ,232,15,Education,0.4573,0.0,83.33,0,4.33333349228,0,,,0.004143396455219726
HKm5Ax0EfWg,Nine Entertain Awards 2015 - ข่าวค่ำ สำนักข่าวไทย 14พ.ค.58,2018,9,0,0,176,20150514,MemoryMUAY,220,1,Entertainment,0.446,0.0,100.0,0,5.0,0,,,0.004628120148552153
8t2tmcwQAmk,Asianet News@1pm  Jan 31 Part 2,1612,0,0,0,478,20120131,asianetnews,177,36,News & Politics,0.0,0.0,0.0,0,0.0,0,,,0.003348163857094079
